what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1289176722467
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1289176722477
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1289176722477
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289176722477
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1289176722477
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289176722477
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1289176722477
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1289176722477
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1289176722477
os,sysinfo,,,"win32",1289176722487
arch,sysinfo,,,"x86",1289176722487
ws,sysinfo,,,"win32",1289176722487
locale,sysinfo,,,"pt_BR",1289176722487
processors,sysinfo,,,"2",1289176722487
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289176722487
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1289176722487
java.specification.name,sysinfo,,,"Java Platform API Specification",1289176722487
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289176722487
java.specification.version,sysinfo,,,"1.6",1289176722487
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289176722487
java.version,sysinfo,,,"1.6.0_20",1289176722487
java.vm.info,sysinfo,,,"mixed mode",1289176722487
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1289176722487
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289176722487
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289176722487
java.vm.specification.version,sysinfo,,,"1.0",1289176722487
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289176722487
java.vm.version,sysinfo,,,"16.3-b01",1289176722487
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289176725399
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289176738506
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289176738804
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1289176742628
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1289176742931
